timestamp,co2_emission_kg_per_hour,energy_consumption_kwh,temperature_celsius,humidity_percent,occupancy_count,equipment_utilization_percent,sensor_location,day_of_week,hour_of_day,month,is_weekend,is_working_hours,is_anomaly,predicted_emission,prediction_error
2025-03-06 06:56:46.979294,42.9802849180674,44.67643282221671,21.308678494144075,41.48769937914996,45,33.77543479093296,Warehouse,3,6,3,0,0,False,,
2025-03-06 07:56:46.979294,49.47527689304435,58.774844913238034,25.837173645764544,37.95788421097572,60,41.81862286846154,Warehouse,3,7,3,0,0,False,,
2025-03-06 08:56:46.979294,187.1217061441082,188.9760568227844,29.69357483807299,37.02273884672658,47,93.29410872469484,Factory_Floor,3,8,3,0,1,True,,
2025-03-06 09:56:46.979294,76.60272677684988,87.6316934301181,21.826739078862005,37.12315723304987,88,30.862222475391324,Building_A,3,9,3,0,1,True,,
2025-03-06 10:56:46.979294,68.24281473841344,66.60914982549967,20.541531251033618,44.79754162893099,28,32.235253872489196,Building_A,3,10,3,0,1,False,,
2025-03-06 11:56:46.979294,84.25363026116088,84.92995171571626,15.895781750144888,25.077209266523543,53,93.02300080469631,Building_B,3,11,3,0,1,False,,
2025-03-06 12:56:46.979294,50.49373972323328,55.084064925294825,16.780517958825826,56.18789312738147,13,63.85422690167854,Warehouse,3,12,3,0,1,False,,
2025-03-06 13:56:46.979294,58.36662760836644,55.0222975135614,18.400778958026457,50.15427434352692,14,39.16007462335957,Warehouse,3,13,3,0,1,False,,
2025-03-06 14:56:46.979294,244.66838418159605,264.91296501171337,25.05838144420434,58.414984951631425,65,34.812902362715874,Building_B,3,14,3,0,1,True,,
2025-03-06 15:56:46.979294,58.033275492590825,53.645549493852876,27.4982348789241,62.69574517051051,32,71.44123563808886,Factory_Floor,3,15,3,0,1,False,,
2025-03-06 16:56:46.979294,52.000241004525954,59.25768218518483,27.347404430984653,30.99355738631925,65,46.644440979486056,Factory_Floor,3,16,3,0,1,False,,
2025-03-06 17:56:46.979294,45.527867578990374,38.38712070361609,26.10951252187612,46.30570602357257,44,50.43313876996123,Office_Area,3,17,3,0,1,False,,
2025-03-06 18:56:46.979294,72.52869126182799,79.94260711342694,23.78556285755873,32.87259595660218,39,90.43034740226724,Warehouse,3,18,3,0,1,False,,
2025-03-06 19:56:46.979294,36.33806789591599,32.245535692252346,20.419170515951137,59.43961934999553,45,51.08242636534281,Office_Area,3,19,3,0,0,False,,
2025-03-06 20:56:46.979294,44.34449950915527,46.964197300296675,20.72117681520529,31.94542568158389,39,64.71581225940372,Warehouse,3,20,3,0,0,False,,
2025-03-06 21:56:46.979294,33.42240522831187,28.987800745768936,26.57442160963006,49.51984201424452,20,56.24935111877265,Building_A,3,21,3,0,0,False,,
2025-03-06 22:56:46.979294,34.92389790126576,37.88922446525083,17.88755315609969,38.37350965160981,48,52.429631121734396,Building_A,3,22,3,0,0,False,,
2025-03-06 23:56:46.979294,36.5517447543196,43.65229332970763,19.892508898300584,56.50945258059606,27,79.50527499636664,Factory_Floor,3,23,3,0,0,False,,
2025-03-07 00:56:46.979294,44.3669986849952,52.946212227546305,18.9046531982252,63.27075656634766,42,81.89243312399583,Building_A,4,0,3,0,0,False,,
2025-03-07 01:56:46.979294,34.05678204921587,35.29499051160535,19.16851135198614,21.74004853400801,51,71.93623137661424,Office_Area,4,1,3,0,0,False,,
2025-03-07 02:56:46.979294,39.139226622215865,44.426311569303635,25.08501887857565,62.53811470428934,67,43.58965534795139,Building_B,4,2,3,0,0,False,,
2025-03-07 03:56:46.979294,44.881103304218016,45.872092635366876,15.845678417830225,20.88775148158159,53,36.051679907383445,Office_Area,4,3,3,0,0,False,,
2025-03-07 04:56:46.979294,46.00291364657263,41.93388881797853,22.762104311296298,57.24229084322056,59,85.66107897207601,Building_A,4,4,3,0,0,False,,
2025-03-07 05:56:46.979294,35.919851670529056,41.64625460435336,23.161268485805017,49.39608709948022,35,30.329002950004213,Building_B,4,5,3,0,0,False,,
2025-03-07 06:56:46.979294,22.723258639165742,19.777644918431754,17.984111674936763,44.92714583023455,42,41.62347609938637,Factory_Floor,4,6,3,0,0,False,,
2025-03-07 07:56:46.979294,44.932360959966935,42.554824445473784,31.483964913269737,31.65728355561715,33,93.24568605890897,Warehouse,4,7,3,0,0,False,,
2025-03-07 08:56:46.979294,85.243262458065,80.1313402016595,21.85137321156305,65.46650170980477,73,86.1708917296737,Office_Area,4,8,3,0,1,False,,
2025-03-07 09:56:46.979294,64.16607420675608,67.89982866043867,26.885900004065366,43.13801416677511,64,92.83256323783851,Factory_Floor,4,9,3,0,1,False,,
2025-03-07 10:56:46.979294,64.31791074173785,63.93920364877661,19.01551334218624,24.878947530807533,17,84.87385414721024,Factory_Floor,4,10,3,0,1,False,,
2025-03-07 11:56:46.979294,65.05660384273726,77.80909951787373,22.76862552972764,45.87313077669,27,87.0292496753171,Building_A,4,11,3,0,1,False,,
2025-03-07 12:56:46.979294,80.05995793299826,77.49102142966535,30.894621719429807,54.8519599674597,21,35.30362172601562,Building_A,4,12,3,0,1,False,,
2025-03-07 13:56:46.979294,61.688261758637786,59.14137124481601,24.474978270958474,46.02526876655743,41,58.500817996175655,Factory_Floor,4,13,3,0,1,False,,
2025-03-07 14:56:46.979294,101.03990887507697,104.71102262336457,12.66367403704126,37.9210220131585,71,38.25893332237251,Building_A,4,14,3,0,1,False,,
2025-03-07 15:56:46.979294,68.91053878155037,67.7325864863742,25.884115022128015,39.128972818772525,58,56.73800382868411,Factory_Floor,4,15,3,0,1,False,,
2025-03-07 16:56:46.979294,90.33864927320668,90.9276698524918,26.143829888024374,60.72029615992428,37,47.60409633203483,Office_Area,4,16,3,0,1,False,,
